Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
5100sqm Land,Awolowo Way Ikeja Lagos,₦,"2,000,000,000",0,0,0,0 beds,0 baths,0 Toilets
Elegant 6 Bedrooms Ensuite Duplex,Ajao Estate Airport Road(ikeja) Ikeja Lagos,₦,"160,000,000",0,0,0,10 beds,10 baths,10 Toilets
6 Bedroom Duplex,Off Allen Avenue Allen Avenue Ikeja Lagos,₦,"120,000,000",0,0,0,6 beds,6 baths,6 Toilets
Furnished 1 Bedroom Flat In A Serene Close,Allen Avenue Ikeja Lagos,₦,"16,000,000",0,0,0,1 beds,2 baths,2 Toilets
"Clean 4 Nos Of 3 Bedroom Flat Off Allen Avenue Ikeja, Lagos. ( For Residential & Commerical Purpose)","Off Allen Avenue Ikeja, Lagos. Allen Avenue Ikeja Lagos",₦,"120,000,000",0,0,0,3 beds,3 baths,3 Toilets
Land,Between Anthony And Maryland Mobolaji Bank Anthony Way Ikeja Lagos,₦,"850,000,000",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 4 Bedroom Semi Detached Duplex + 1 Room Bq,Ikeja Gra Ikeja Lagos,₦,"140,000,000",0,0,0,4 beds,4 baths,5 Toilets
For Sale:2bedroom Bungalow In An Estate At Allen Ikeja N12m Asking,Allen Avenue Ikeja Lagos,₦,"12,000,000",0,0,0,2 beds,2 baths,2 Toilets
Tastefully Finished New 5 Bedroom Fully Detached Duplex, Adeniyi Jones Ikeja Lagos,₦,"160,000,000",0,0,0,0 beds,0 baths,0 Toilets
Land,Kudirat Abiola Oregun Ikeja Lagos,₦,"380,000,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
Newly Built 4 Bedroom Maisonette With 1 Room Bq,"Boet Estate, Adeniyi Jones Ikeja Lagos",₦,"120,000,000",1,1,0,4 beds,4 baths,5 Toilets
2 Units 4bedroom Semi Detached Duplex With 2rooms Bq,Off Salvation Road Opebi Ikeja Lagos,₦,"250,000,000",0,0,0,4 beds,4 baths,4 Toilets
7unites Of 5bedroom Service And Fully Furnished Luxury Duplex With A Bq,Adeniyi Jones Ikeja Lagos,₦,"840,000,000",1,0,1,5 beds,4 baths,5 Toilets
Well Finished Hotel,"Gra, Ikeja Ikeja Lagos",₦,"2,300,000,000",0,0,0,10 beds,0 baths,0 Toilets
"Office Building On 3 Floors At Adebayo Akannde, Oregun",Oregun Ikeja Lagos,₦,"500,000,000",0,0,0, beds, baths, Toilets
4 Bedroom Detached Duplex,Alausa Ikeja Lagos,₦,"180,000,000",0,0,0,0 beds,0 baths,0 Toilets
4 Units Of 3 Bedroom Flat On 732sqm,"Orimolade Street, Ogba Ikeja Lagos",₦,"60,000,000",0,0,0,3 beds,3 baths,4 Toilets
Lovely Built 4bedroom Semi Detached Duplex,Salvation Road Opebi Ikeja Lagos,₦,"90,000,000",0,1,1,4 beds,4 baths,5 Toilets
2 And Half Plot Of Land With Story Building,Mangoro Ikeja Lagos,₦,"85,000,000/sqm",0,0,0,0 beds,0 baths,0 Toilets
A Functional Hotel,Ikeja Ikeja Lagos,₦,"1,400,000,000",0,0,0,0 beds,0 baths,0 Toilets
