Title,Location,Currency,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets
Well Furnished 2 Bedroom Apartment,Parkview Estate Ikoyi Lagos,₦,"130,000,000",1,1,1,2 beds,2 baths,2 Toilets
Fully Detached 5 Bedroom House,Banana Island Ikoyi Lagos,₦,"950,000,000",0,0,0,5 beds,5 baths,6 Toilets
Excellent 4 Bed Semi Detached Duplex With Swimming Pool And Gym In Ikoyi,Ikoyi Lagos,₦,"300,000,000",0,1,0,4 beds,0 baths,0 Toilets
Spacious And Luxury One Bedroom Apartment On Banana Island Road Ikoyi,Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,₦,"72,000,000",1,0,0,1 beds,1 baths,2 Toilets
A 4bedrooms Semi Detached House + Bq,Dolphin Estate Ikoyi Lagos,₦,"170,000,000",0,0,0,4 beds,3 baths,4 Toilets
Fully Serviced 2 Bedroom Luxury Apartment,Ikoyi Lagos,₦,"170,000,000",1,1,0,2 beds,3 baths,3 Toilets
"Super Spacious 5 Bed Luxury Maisonette With Swimming Pool, Gym And Elevator",Ikoyi Lagos,₦,"500,000,000",0,0,0,5 beds, baths, Toilets
5 Bedroom Fully Detached Duplex,Banana Island Ikoyi Lagos,₦,"1,600,000,000",1,1,0,5 beds,5 baths,6 Toilets
2 Bedrooms Flat,Onikoyi Mojisola Onikoyi Estate Ikoyi Lagos,₦,"140,000,000",0,1,0,2 beds,3 baths,3 Toilets
Newly Built 5 Bedroom Detached House,Banana Island Estate Banana Island Ikoyi Lagos,₦,"950,005,000",0,1,0,5 beds,5 baths,6 Toilets
Newly Built Waterfront 5 Bedroom Detached House + 2 Rooms Bq,Off Onikoyi Road Ikoyi Ikoyi Lagos,₦,"600,000,000",0,1,0,5 beds,5 baths,6 Toilets
Spacious And Luxury One Bedroom Apartment,Banana Island Road Mojisola Onikoyi Estate Ikoyi Lagos,₦,"72,000,000",1,0,0,1 beds,1 baths,2 Toilets
